次のうち隠し球が成立する場面はどれか？,1,投手がマウンド上でロジンバックを触っている時,タイム時,投手がプレートを跨いでいる時,捕手とサイン交換している時
守備位置を数字で表す際、セカンドは何番?,3,2,3,4,6
打者の飛球を野手が捕球した後に帰塁することをなんと言う?,2,エンドラン,タッチアップ,オーバーラン,スクイズ
次のうちインフィールドフライが適用されないものはどれ？,2,無死　走者一、二塁,無死　一塁,一死　満塁,一死　一、二塁
投手と捕手の距離は何メートルか?,2,14.02m,18.44m,20.38m,25m
NPB(日本野球機構)で使用される球は？,3,軟球,準硬式,硬式,超硬式
三塁走者が打者と示し合わせてバントによって生還する攻撃法を何という？,4,バスター,エンドラン,オーバーラン,スクイズ
球審が捕手の送球動作を妨害してしまった場合のルールで正しいものはどれ？,1,ランナーは帰塁、しかし送球でアウトの場合アウト,そのままプレー続行,ランナーは進塁,ランナーは帰塁し、送球も無効
不正投球を防ぐ目的でボークというルールがあるが、次のうちボークが適用されないのはどれ？,2,セットポジション時に完全静止しなかった,投手板に触れていない状態で１、３塁へ偽投,ボールを持っていない状態で投手板に触れる,投手板に触れている状態でランナーがいない塁へ送球
攻撃の際に投手の代わりに打撃にたつ選手を何という？,3,DF,DP,DH,DS
勝っているチームのリリーフピッチャー（途中から投げる投手）が最後までリードを守り切ることによって与えられる記録のことを何という？,4,スランプ,セーブ,キープ,ホールド
プレイを中断宣言をした後、少なくとも何分を経過するまでは打ち切りを命じてはならない？,4,10分,15分,20分,30分
ボークとは、野球において投手の投球や塁への送球における反則行為である。その中でキャッチャーのボークにあたる行為はどれか？,3,５秒以内に投手に返球しなかった,盗塁の送球時にフェイクを入れる,投手がリリースする前にキャッチャーボックスから出る,投手がリリース後ホームベースに手を触れる
ワンバウンドで外野のフェアスタンドに入ったときなど、打者・走者に二つ先の塁へ進む権利を与えることを何という?,2,リクエスト,エンタイトルツーベス,ナショナルジオフィック,コリジョンルール
試合終了時、審判は何という言葉で締めるでしょうか？,2,終了,ゲーム,エンド,セットゲーム
何らかの理由により、審判員が打ち切りを命じた試合のことを何という？,3,エンドゲーム,ストップゲーム,コールドゲーム,バックゲーム
次のうち振り逃げが成立しない条件はどれか？,2,二死ランナー 一塁,一死ランナー 満塁,無死ランナー 二塁三塁,見逃し三振での捕手が逸球
特定の条件下において打者が打ち上げたフェアの飛球のうち、内野手が普通の守備行為を行えば容易に捕球できると判断されるもの、またその際に適用される規則を何という？,3,インターセプション,フィールドアウト,インフィールドフライ,エンタイトルフライ
1イニングのアウトの数は？,2,2,3,6,9
次のうちプレーが続行されないのはどれ？,4,打球が審判にあたる,ボールカウントを間違えて投球動作に入る,インフィールドフライ後,投手が投げる直前に打者がタイムをかける
